Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00037/SE,ANDALUCIA POLIVALENTES S.L.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.00108/GR,JAMONES QUESADA CARPIO S.L.,Granada/CANILES,PP,,MP,
10.00116/GR,JAMONES ESCALONA VALDERRUBIO S.L.,Granada/VALDERRUBIO,PP,,MP,
10.00120/AL,INDUSTRIAS CARNICAS CAMPOHERMOSO S.L.,Almería/CAMPOHERMOSO,"CP, MM, MP, PP",,MP,
10.00159/H,SANCHEZ ROMERO CARVAJAL JABUGO S.A.,Huelva/JABUGO,"CS, RW, SH, CP, PP",P,MP,
10.00220/GR,INDUSTRIAS CARNICAS ZURITA S.A.,Granada/ALBOLOTE,"CP, PP",,MP,
10.00271/H,GABRIEL CASTAÑO S.L.,Huelva/CUMBRES MAYORES,"RW, PP",,MP,
10.00285/MA,"FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE, S.A. (FACCSA)",Málaga/CARTAMA,"CS, RW, CP",,MP,
10.00295/AL,JAMONES SEGURA S.L.,Almería/SERON,"RW, PP",,MP,
10.00384/SE,GARRUDO S.L.,Sevilla/SEVILLA,"RW, CP, MM, MP",,,
10.00408/SE,MATADERO Y FABRICA DE EMBUTIDOS FRANCISCO ALONSO .L.,Sevilla/ALMADEN DE LA PLATA,"SH, CP, PP",P,MP,
10.00419/GR,EMBUTIDOS GARCIA LIZANA S.L.,Granada/LOJA,"SH, CP, MM, MP, PP",P,"MP, ST",
10.00471/GR,JAMONES VALLEJO S.L.,Granada/TREVELEZ,"CS, PP",,MP,
10.00585/GR,JAMONES NAVARRETE PALMA S.L.,Granada/ILLORA,"CS, PP",,MP,
10.00609/CO,FEMBAPPO S.L.,Córdoba/PUENTE GENIL,"MM, MP, PP",,MP,
10.00728/GR,HERENCIA YACENTE DE DON MIGUEL NAVARRO ESTEVEZ,Granada/GÜEJAR SIERRA,PP,,MP,
10.00788/GR,INDUSTRIAS HERMAN GRANADA S.L.,Granada/GRANADA,"RW, PP",,MP,
10.00837/MA,"MATADEROS INDUSTRIALES SOLER, S.A. (MISSA)",Málaga/CARTAMA,"RW, SH, MM, MP, PP",P,"BL, MP, ST",
10.00847/GR,ARTESANOS DE MONTEJICAR S.L.,Granada/MONTEJICAR,"CP, MM, MP, PP",,MP,
10.00885/GR,BODEGAS PIEDRAS BLANCAS S.L.U.,Granada/TORVIZCON,PP,,MP,
