Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00005/TE,"CENTELLES LORENZ, ALEJANDRO",Teruel/IGLESUELA DEL CID (LA),PP,,MP,
10.00025/TE,"JAMONES MANZANERA, S.L.",Teruel/MANZANERA,"RW, PP",,MP,
10.00028/TE,"SECADERO JAMONES JUAN GARGALLO, S.L.",Teruel/VENTA DEL AIRE,PP,,MP,
10.00048/TE,"TUROTRANS, S.A",Teruel/SANTA EULALIA,"SH, CP, PP",A,MP,
10.00100/TE,JAMONES Y CECINAS R.DOMINGO S.L,Teruel/IGLESUELA DEL CID (LA),PP,,MP,
10.00102/TE,"DAUDEN ZAERA, ABEL .",Teruel/FORTANETE,PP,,MP,
10.00119/TE,GARGALLO MORA S.L.,Teruel/MORA DE RUBIELOS,"RW, PP",,MP,
10.00167/TE,"AL-ANDALUS TRADITION TIRWAL, SL",Teruel/CANTAVIEJA,"RW, PP",,MP,
10.00184/TE,JAMONES DE ARAGON S.L.,Teruel/TERUEL,PP,,MP,
10.00246/Z,JAMONES EUTIQUIO S.L.,Zaragoza/CUARTE DE HUERVA,PP,,MP,
10.00249/TE,"JAMONES EL RULLO, S.L",Teruel/VILLARLUENGO,PP,,MP,
10.00315/Z,"MARIANO GOMEZ,S.A.",Zaragoza/CUARTE DE HUERVA,PP,,MP,
10.00363/TE,"JAMONES ARTEMIO, S.A",Teruel/EJULVE,PP,,MP,
10.00370/TE,"JAMONES CASA CONEJOS, S.A.",Teruel/CEDRILLAS,"RW, PP",,MP,
10.00488/Z,JAMONES SANCHEZ GONZALEZ S.L,Zaragoza/CARTUJA BAJA,"RW, PP",,MP,
10.00493/Z,"ANTONIO MORENO SINUES, S.A",Zaragoza/MONTAÑANA,"SH, CP",A,,
10.00890/Z,"GONZALEZ Y ROMERO AGROCARNE,S.L",Zaragoza/ARIZA,"CP, MM, MP, PP",,MP,
10.01016/TE,JOSE ANTONIO SANCHEZ JUAN,Teruel/MONREAL DEL CAMPO,"SH, CP, MM, MP, PP",P,MP,
10.01269/TE,JAMONES ROQUETA S.L,Teruel/MANZANERA,PP,,MP,
10.01298/TE,FRIGORIFICOS VELILLA S.L,Teruel/ALCAÑIZ,"CP, MM, MP, PP",,MP,
10.01429/TE,JAMONES MATA S.L.U.,Teruel/RUBIELOS DE MORA,"SH, CP, MM, MP, PP",P,MP,
10.01445/TE,JAMONES Y EMBUTIDOS ALTO MIJARES S.L.,Teruel/FORMICHE ALTO,"SH, CP, MM, MP, PP",P,MP,
10.01451/TE,"JAMONES JOSANZ, S.L",Teruel/CEDRILLAS,PP,,MP,
10.01560/Z,ARAGONESA DEL JAMON S.A.,Zaragoza/MUELA (LA),"RW, PP",,MP,
10.02016/Z,ALIAGA UVIEDO S.L.,Zaragoza/CUARTE DE HUERVA,"MM, MP, PP",,MP,
10.02077/TE,MATADERO COMARCAL DE CALAMOCHA SLU,Teruel/CALAMOCHA,"CS, SH, CP, MM, MP","P, B",,
10.02261/Z,COMERCIAL ARAG. DE PROD. ALIMENT. CAPASA,Zaragoza/ZARAGOZA,CP,,,
10.02276/TE,"DON JATE, S.A.",Teruel/TERUEL,"SH, CP, GHE, MM, MP, PP","P, wU, B, C, O, wG",MP,
10.02296/TE,"CARNICAS CORELLA,S.L",Teruel/ALBENTOSA,"SH, CP, MM, MP, PP","P, B, C, O",MP,
10.02380/Z,CÁRNICAS GÁLLEGO S.A.,Zaragoza/VILLANUEVA DE GALLEGO,"CP, MM, MP, PP",,MP,
10.02426/Z,"JAMONES DE ENCINACORBA,S.A.",Zaragoza/ENCINACORBA,"RW, PP",,MP,
10.02430/Z,CALLEJAS CEBOLLADA CECILIO,Zaragoza/EPILA,PP,,MP,
10.02449/HU,"JULIAN MAIRAL, S.L.",Huesca/BARBASTRO,PP,,MP,
