Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00324/O,PRODUCTOS CARNICOS EL CUCO SA,Asturias/OVIEDO,"CP, MM, MP, PP",,MP,
10.00620/O,"GARCIA GONZALEZ, MANUEL",Asturias/TINEO,PP,,MP,
10.02071/O,EMBUTIDOS VALLINA SA,Asturias/CASTRILLON,"MM, MP, PP",,MP,
10.02909/O,DANELISA SL,Asturias/NAVA,PP,,MP,
10.03172/O,EMBUTIDOS LA VENTA CB,Asturias/MALLECINA,"CP, MM, MP, PP",,MP,
10.03211/O,VIUDA DE INOCENCIO FERNANDEZ SA,Asturias/BERRON (EL),RW,,ST,
10.03237/O,INDALECIO GARCIA LLAMEDO,Asturias/PRIANDI/LLOREU,"MM, MP, PP",,MP,
10.03285/O,JOSE RODRIGUEZ MENENDEZ,Asturias/VALBONA,PP,,MP,
10.03406/O,EMBUTIDOS PURA RAZA SL,Asturias/NOREÑA,"MM, MP, PP",,MP,
10.03543/O,LUCENDO ALONSO JOSE ANTONIO,Asturias/POLA SIERO (LA),"CS, CP",,,
10.03831/O,AST,Asturias/TINEO,"MM, MP, PP",,MP,
10.03852/O,"HIJOS DE ESPERANZA VALLINA, S.L.",Asturias/FELECHOSA,"MM, MP, PP",,MP,
10.04581/O,CARNICAS LA NAVE SL,Asturias/NOREÑA,PP,,MP,
10.04631/O,NESTLE ESPAÑA SA,Asturias/GIJON/XIXON,PP,,MP,
10.04669/O,EMBUTIDOS CASA CAMPOLLO SL,Asturias/RICABO,"MM, MP, PP",,MP,
10.04813/O,TRIPAS NUÑO,Asturias/NOREÑA,"RW, PP",,ST,
10.04866/O,GARCIA NUÑO. EL CHICO SL,Asturias/NOREÑA,"MM, MP, PP",,MP,
10.04867/O,GARCÍA NUÑO. EL CHICO SL,Asturias/BERRON (EL),"MM, MP, PP",,MP,
10.04868/O,BP LA CARMINA SL,Asturias/NOREÑA,"RW, PP",,MP,
10.04869/O,EMBUTIDOS VILLAVERDE SL,Asturias/NOREÑA,"MM, MP, PP",,MP,
10.04870/O,PRODUCTOS CARNICOS LA PILARICA SL,Asturias/NOREÑA,"CP, MM, MP, PP",,MP,
10.04873/O,MUTTIMAX,Asturias/BERRON (EL),"MM, MP, PP",,MP,
10.04874/O,"PRODUCTOS CARNICOS DELCLOS, S.L.",Asturias/NOREÑA,"MM, MP, PP",,MP,
