Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00259/S,INDUSTRIA CARNICA SALAMI S.A.,Cantabria/SANTANDER,"CP, PP",,MP,
10.01652/S,VICTOR FRANCISCO ROBLEDO GARCIA,Cantabria/CAMARGO,"CS, SH",L,,
10.02119/S,RAUL GONZALEZ BARQUIN,Cantabria/TORRELAVEGA,PP,,BL,
10.02672/S,LA VILLARCAYESA S.A.,Cantabria/MALIAÑO,"MM, MP, PP",,MP,
10.03075/S,EMBUTIDOS LA PEPITA S.L.,Cantabria/TANOS,"MM, MP, PP",,MP,
10.03252/S,RAUL CASTAÑEDA CRUZ,Cantabria/PIELAGOS,"CS, MM, MP, PP",,BL,
10.03354/S,FOOD 2000 SL,Cantabria/PEÑACASTILLO,"CP, MM, MP, PP",,MP,
10.03597/S,FERMARTIN S.L.,Cantabria/SAN ROMAN,"MM, MP, PP",,"BL, MP",
10.03625/S,GESTION CARNICA DEL NORTE S.A.,Cantabria/GUARNIZO,"CS, SH, CP","B, S",,
10.03794/S,EMBUTIDOS MELI S.L.,Cantabria/GOLBARDO,"CP, MM, MP, PP",,"BL, MP",
10.04815/S,FRANCISCO CALLEJO ALVAREZ,Cantabria/SANTANDER,"MM, MP, PP",,MP,
10.05590/S,CAYDESA CARNES S A,Cantabria/SANTANDER,"CS, CP, MM, MP",,,
10.05996/S,INDUSTRIAS ALIMENTARIAS LEBANIEGAS S.L.,Cantabria/POTES,PP,,MP,
10.06346/S,JOSE ANTONIO URTIAGA SALCINES,Cantabria/RASINES,"MM, MP, PP",,MP,
10.06711/S,CAMARGUESA DE DESPIECE S.L.,Cantabria/REVILLA,"CS, CP, MM, MP",,,
10.06978/S,AYUNTAMIENTO DE TORRELAVEGA,Cantabria/BARREDA,SH,"P, B, C, O, S",,
10.07196/S,CHARTESA CANTABRIA S.L.,Cantabria/PEÑACASTILLO,"MM, MP, PP",,MP,
10.07268/S,NUEVO MATADERO DE REINOSA SL,Cantabria/REINOSA,"CS, SH","B, S",,
10.08978/S,FRIOLOGIC SANTANDER SA,Cantabria/SANTANDER,CS,,,
10.09822/S,INDUSTRIA CARNICA SALAMI SA,Cantabria/PEÑACASTILLO,"CP, MM, MP, PP",,MP,
10.10579/S,SEMARK AC GROUP SA,Cantabria/SANTANDER,CS,,,
10.11126/S,OSNAEM S.L.,Cantabria/SOLARES,"MM, MP, PP",,MP,
10.11959/S,CARNICAS JUAN JOSE HERNANDEZ S.L.,Cantabria/CACICEDO,"CS, CP",,,
10.12550/S,EMBUTIDOS EL FARO S.A.,Cantabria/CORRALES DE BUELNA (LOS),"CS, CP, MM, MP, PP",,"BL, MP",
10.14126/S,ISIDORO ALVAREZ FERNANDEZ,Cantabria/PRELLEZO,"MM, MP",,,
12.00013/S,FROXA SA,Cantabria/SANTIAGO,"CS, PP",,,
12.00321/S,FRIGORIFICOS PEREZ BARANDICA S.L.,Cantabria/PEÑACASTILLO,"PP, FFP",,,
12.00322/S,COMPESCA S.A.,Cantabria/PEÑACASTILLO,PP,,,
12.00369/S,"CONGELADOS SB, SL",Cantabria/MURIEDAS,"PP, FFP",,,
12.00405/S,CANTABRIA FAMILY INVESTMENT SLU,Cantabria/LAREDO,PP,,SN,
12.00406/S,CONSERVAS HOYA S.A.,Cantabria/SANTOÑA,PP,,,
12.00468/S,LOTAMAR SL,Cantabria/RAMALES DE LA VICTORIA,PP,,,
12.00469/S,CONSORCIO ESPAÑOL CONSERVERO SA,Cantabria/COLINDRES,PP,,,
12.00528/S,CONSORCIO ESPAÑOL CONSERVERO SA,Cantabria/SANTOÑA,PP,,,
12.00537/S,MARIA SOLEDAD VASCO SASTRE,Cantabria/LAREDO,"CS, PP",,,
12.00540/S,CONSERVAS SILVIA S.L.,Cantabria/SANTOÑA,"CS, RW, PP",,,
12.00556/S,PUJADO SOLANO S.A.,Cantabria/SANTOÑA,PP,,,
