Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00024/CR,"PRÁXEDES FOODS, S.L.",Ciudad Real/SOCUELLAMOS,PP,,MP,
10.00092/TO,"CAMPOFRIO FOOD GROUP, S.A.",Toledo/TORRIJOS,PP,,MP,
10.00274/GU,EMBUTIDOS ATIENZA S.L.,Guadalajara/ATIENZA,"SH, CP, MM, MP, PP","P, C, O",MP,
10.00308/AB,"NOLASCO ROMERO, ANTONIO",Albacete/ALBACETE,PP,,MP,
10.00564/GU,"INDUSTRIAS CARNICAS RIMO, S.L.",Guadalajara/MONDEJAR,"CP, PP",,MP,
10.00667/TO,"EMBUTIDOS GARCÍA PULIDO, C.B.",Toledo/CASTILLO DE BAYUELA,"MM, MP, PP",,MP,
10.00712/CR,"FLORENTINO GIL CHACON E HIJOS, S.L.",Ciudad Real/BOLAÑOS DE CALATRAVA,PP,,MP,
10.00745/CR,"MATADERO FRIGORÍFICO BAUTISTA BENAVENT, S.L.U.",Ciudad Real/ALCAZAR DE SAN JUAN,SH,"C, O",,
10.00898/AB,"EMBUTIDOS MOROTE Y ANDUJAR, S.L.",Albacete/SOLANA (LA),"CP, MM, MP, PP",,MP,
10.01219/AB,"PRODUCTOS ALIMENTICIOS ALBACETE, S.A.",Albacete/ALBACETE,"CS, SH, CP, MM, MP, MSM",A,,
10.01342/CR,"RUALCO, S.A.",Ciudad Real/SOCUELLAMOS,PP,,MP,
10.01359/CR,"NICO JAMONES, S.L.",Ciudad Real/LUCIANA,"RW, PP",,MP,
10.01375/TO,"HERMANOS ALCAZAR, C.B.",Toledo/VILLATOBAS,"CS, PP",,MP,
10.01437/CR,"CHACINAS PERFECTO, S.A.",Ciudad Real/SOLANA (LA),"CP, MM, MP, PP",,MP,
10.01500/AB,"CARRION MORENILLA, DARIO",Albacete/FUENTEALBILLA,"SH, CP, MM, MP, PP","P, C, O","BL, MP",
10.01578/CR,"HERMANOS DONOSO, S.L.",Ciudad Real/ALMAGRO,PP,,MP,
10.01596/AB,"INDUSTRIAL PEÑAS, S.C.L.",Albacete/PEÑAS DE SAN PEDRO,"MM, MP, PP",,MP,
10.01697/CR,"CARNES Y EMBUTIDOS VILLASEÑOR, S.L.",Ciudad Real/CIUDAD REAL,"CP, MM, MP, PP",,MP,
10.02082/AB,"EMBUTIDOS TRADICIONALES LA GRANJA, S.L.L.",Albacete/TOBARRA,"CP, MM, MP, PP",,"BL, MP",
10.02084/CR,"CARNICAS MARQUEZ, C.B.",Ciudad Real/MANZANARES,"CP, MM, MP, PP",,MP,
10.02141/CU,"INDS. CARNICAS LORIENTE PIQUERAS, S.A. (INCARLOPSA)",Cuenca/TARANCON,"CS, RW, SH, CP",P,MP,
10.02152/TO,"PROCARME, S.L.",Toledo/SANTA CRUZ DE LA ZARZA,"MM, MP, PP",,MP,
10.02163/CR,"DIALVAL 2006, SL.",Ciudad Real/VALDEPEÑAS,CS,,,
10.02195/CR,"INDUSTRIAS CARNICAS VICENTE MARTIN, S.L.",Ciudad Real/ALCAZAR DE SAN JUAN,"CP, MM, MP, PP",,MP,
10.02218/TO,"CARNICAS PULIDO HERMANOS, S.L.",Toledo/CASTILLO DE BAYUELA,"MM, MP, PP",,MP,
