Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00018/SA,"PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.",Salamanca/GUIJUELO,"CS, SH, CP, MM, MP, PP",P,MP,
10.00044/BU,JUAN MARTIN DE LA FUENTE CUESTA,Burgos/POZA DE LA SAL,PP,,MP,
10.00083/SA,CARNICAS RODRIGUEZ G. DEL AGUILA S.L.,Salamanca/GUIJUELO,PP,,MP,
10.00117/LE,"ELABORADOS Y DERIVADOS CARNICOS DE LEON, S.L.",León/VILLADANGOS DEL PARAMO,"CS, RW, MM, MP, PP",,MP,
10.00163/AV,AN S.COOP.,Ávila/AVILA,"CS, RW, SH, CP, MM, MP, PP",A,MP,
10.00198/VA,"CHICKENVALL, S. L.",Valladolid/VALLADOLID,"CS, CP",,,
10.00203/LE,"FRIGORIFICOS INDUSTRIALES DEL BIERZO, S.A.",León/PONFERRADA,PP,,MP,
10.00205/BU,"INDUSTRIAS CARNICAS CASTELLANAS, S. A.",Burgos/BURGOS,"CS, SH, CP","P, fG, B, C, O, S",,
10.00241/LE,HUEVOS LEON S.L.,León/FERRAL DEL BERNESGA,"CS, SH, CP, MM, MP, PP","A, L",MP,
10.00441/LE,"PRODUCTOS CORREDERA, S. L.",León/BAÑEZA (LA),"RW, PP",,MP,
10.00484/SA,"CARNICAS JOSE MANUEL MARTIN, S. L.",Salamanca/GUIJUELO,PP,,MP,
10.00489/LE,"FEBLAME, S. L.",León/ASTORGA,PP,,MP,
10.00500/ZA,FELIPE PEREZ DE LA CALLE,Zamora/TORO,PP,,MP,
10.00508/AV,"VICTOR 2016, S.L.U.",Ávila/COLILLA (LA),PP,,MP,
10.00511/SA,"JULIAN BECERRO E HIJOS, S. L.",Salamanca/ALBERCA (LA),"RW, PP",,MP,
10.00515/AV,"AVES Y HUEVOS SANCHEZ, S. L.",Ávila/AVILA,"CS, CP",,,
10.00524/BU,JAVIER ORTEGA GOMEZ,Burgos/BRIVIESCA,PP,,MP,
10.00530/SG,CECILIO VILLACORTA MERINO,Segovia/BERNARDOS,"MM, MP, PP",,MP,
10.00545/BU,JOSE ANTONIO SIMON DE BENITO,Burgos/MIRANDA DE EBRO,PP,,MP,
10.00546/LE,"EMBUTIDOS MANOLO VILLADANGOS DEL PARAMO, S.L.",León/VILLADANGOS DEL PARAMO,PP,,MP,
10.00637/LE,"CECINAS GARROTE, S. L.",León/ASTORGA,PP,,MP,
10.00657/LE,"INDUSTRIAS CARNICAS EL MOLINES SIGLO XXI, S.L.",León/PONFERRADA,PP,,MP,
10.00766/AV,AYUNTAMIENTO LAS NAVAS DEL MARQUES,Ávila/NAVAS DEL MARQUES (LAS),SH,"B, C, O",,
10.00777/LE,"HERMANOS OBLANCA, S. L.",León/ONZONILLA,"CS, SH, CP, MM, MP",A,,
10.00789/BU,SDAD. COOP. PROV. AVICOLA Y GANADERA DE BURGOS,Burgos/BURGOS,"CS, SH, CP",A,,ABP
10.00892/LE,"EMBUTIDOS SEVERIANO, S. L.",León/CARRIZO,PP,,MP,
10.01070/SA,"INDUSTRIAS CARNICAS HERMANOS BAZO MARTIN, S. L.",Salamanca/PAYO (EL),PP,,MP,
10.01077/SA,"GONZALEZ GOMEZ, ANTONIO",Salamanca/LEDRADA,"RW, PP",,MP,
10.01087/AV,"MATADERO FRIGORIFICO DE MUÑOGALINDO, S. L.",Ávila/MUÑOGALINDO,"SH, CP","B, C, O",,
10.01089/SG,"JAMBUR CANTIMPALOS, S.L.",Segovia/CANTIMPALOS,PP,,MP,
10.01090/SG,EMBUTIDOS Y JAMONES GAMAR S.L.,Segovia/CANTIMPALOS,PP,,MP,
10.01106/AV,"MARTIN MARTIN BLAZQUEZ, S. A.",Ávila/MUÑANA,"CP, MM, MP, PP",,MP,
10.01112/SG,"JORGE MENDOZA, S. L.",Segovia/CANTIMPALOS,"RW, PP",,MP,
10.01125/SA,FRANCISCO MARTIN MARTIN,Salamanca/GUIJUELO,PP,,MP,
10.01159/SO,"ELABORACION DE TRIPAS HERMANOS GARCIA, S. L.",Soria/SORIA,PP,,ST,
10.01187/ZA,"COMERCIAL TRIPERIA BENAVENTANA, S. L.",Zamora/BENAVENTE,CS,,,
10.01222/AV,"CARHESAN, S. A.",Ávila/MUÑANA,"RW, PP",,MP,
10.01225/AV,FELIX BERNALDO DE QUIROS S.L.,Ávila/CAÑADA (LA),"SH, CP, MM, MP, PP",P,MP,
10.01291/VA,"HERMI CARNE DE CONEJO, S. L. U.",Valladolid/CISTERNIGA,"CS, SH, CP, MM, MP",L,,
10.01295/SA,"JESUS MARCOS E HIJOS, S. L.",Salamanca/MARTIN DE YELTES,PP,,MP,
10.01337/AV,EMBUTIDOS LA SERROTA S.L.,Ávila/MUÑOGALINDO,"MM, MP, PP",,MP,
10.01389/SA,SOCIEDAD COOPERATIA CHACINERA ALBERCANA,Salamanca/ALBERCA (LA),PP,,MP,
10.01407/SG,FABRICA DE EMBUTIDOS LA PRUDENCIA S.A.,Segovia/VILLACASTIN,"MM, MP, PP",,MP,
10.01412/BU,Mª BEGOÑA LOPEZ MARTINEZ,Burgos/VILLARCAYO,CS,,,
10.01417/SO,CADESO SL,Soria/OLVEGA,"MM, MP, PP",,MP,
10.01436/AV,"GARRUDO BENITO, S. L.",Ávila/PIEDRAHITA,"CS, SH, CP, MM, MP, PP",P,MP,
10.01446/SG,MARIANO LOPEZ E HIJOS S.L.,Segovia/CANTIMPALOS,"CS, SH, CP, MM, MP, PP",P,MP,
10.01467/LE,"PALCARSA, S. L.",León/SAN JUSTO DE LA VEGA,"CS, PP",,MP,
10.01477/SG,"MARIANO PASCUAL, S. A.",Segovia/CARBONERO EL MAYOR,PP,,MP,
10.01484/SO,"CAMPOFRIO FOOD GROUP, S. A.",Soria/OLVEGA,"CS, PP",,MP,
10.01537/SO,"GOUROSMA, S.L.U.",Soria/BURGO DE OSMA (EL),"CS, MM, MP, PP",,MP,
10.01539/SG,NARCISO POSTIGO E HIJOS S. L.,Segovia/CANTIMPALOS,PP,,MP,
10.01565/SA,"SERRANOS DICO, S. L.",Salamanca/CALZADA DE DON DIEGO,"CP, PP",,MP,
10.01568/SG,"ANDRES PINELA E HIJOS, S. L.",Segovia/CANTIMPALOS,PP,,MP,
10.01575/SA,"JUAN GARCIA GOMEZ, S. A.",Salamanca/CANDELARIO,PP,,MP,
10.01576/SA,JESUS SANCHEZ ARRIBA E HIJAS S.L.,Salamanca/PUERTO DE BEJAR,PP,,MP,
10.01579/SG,"EMBUTIDOS POSTIGO, S. A.",Segovia/CANTIMPALOS,PP,,MP,
10.01604/SG,LAS ÑAVAS S.L.,Segovia/CARBONERO EL MAYOR,PP,,MP,
10.01630/BU,TOMAS ARCEREDILLO OCA,Burgos/PRADOLUENGO,PP,,MP,
10.01686/BU,"FRIO BURGOS, S.A.U.",Burgos/BURGOS,CS,,,
10.01702/AV,CARNAVI S. L.,Ávila/AVILA,"CS, CP, MM, MP, PP",,MP,
10.01710/SG,JUAN LLORENTE S.L.,Segovia/CARBONERO EL MAYOR,PP,,MP,
10.01760/ZA,"HIJOS DE DIONISIO SANCHEZ, S.L.",Zamora/FUENTESAUCO,"CP, MM, MP, PP",,MP,
10.01802/SA,ANGEL OLIVA MATEOS,Salamanca/SAN MIGUEL DE VALERO,"MM, MP, PP",,MP,
10.01818/SA,"ABUNDIO MATAS, S. L .",Salamanca/LEDRADA,"RW, PP",,MP,
10.01852/SA,"JAMONES Y EMBUTIDOS HPM, S. L.",Salamanca/LEDRADA,PP,,MP,
10.01998/AV,MIGUEL ANGEL SORIANO MUÑUMEL,Ávila/NAVAS DEL MARQUES (LAS),"MM, MP, PP",,MP,
10.02017/SO,CARNICAS LLORENTE SL,Soria/ALMAZAN,"SH, CP, PP",P,MP,
10.02018/ZA,"AVICOLA GALOCHA, S. L.",Zamora/SAN CRISTOBAL DE ENTREVIÑAS,"CS, SH, CP, MM, MP, MSM",A,,
10.02039/LE,"JAMONES Y EMBUTIDOS, J FERNANDEZ, S. L.",León/VILLADECANES,"CP, MM, MP, PP",,MP,
10.02073/ZA,"MELQUIADES RODRIGUEZ, S.A.",Zamora/CORESES,"CS, CP, MM, MP, PP",,MP,
10.02080/SG,ZACARIAS MUÑOZ GARCIA S. L.,Segovia/LOSA (LA),PP,,MP,
