Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00006/GE,CARNICAS VALL DE BAS SL,Girona/VALL D'EN BAS (LA),"CS, SH, CP",B,,
10.00023/L,MATADERO FIGUERA SA,Lleida/AGRAMUNT,"SH, CP",L,,
10.00056/GE,CONILLS DE L'EMPORDA SL,Girona/VILOPRIU,SH,L,,
10.00060/L,"MATILDE MASANA, SL",Lleida/SEU D'URGELL (LA),SH,L,,
10.00080/B,GENERAL MARKETS FOOD IBERICA SAU,Barcelona/MONTCADA I REIXAC,"CP, MM, MP",,,
10.00115/B,ROLER ESPAÑA SLU,Barcelona/TERRASSA,"RW, CP, MM, MP, PP",,MP,
10.00121/B,CASA TARRADELLAS SA,Barcelona/GURB,PP,,MP,
10.00126/GE,CARNICAS J. SITJA SA,Girona/OLOT,"CP, MSM",,,
10.00140/B,"PRODUCTOS SELECTOS DEL CERDO S.A. ""LA PIARA""",Barcelona/GRANOLLERS,SH,L,,
10.00144/L,MORROS FILLS SL,Lleida/ARTESA DE SEGRE,"SH, CP",L,,
10.00148/B,"MARGÓ CANUDAS, JOAN",Barcelona/PUIG-REIG,"MM, MP, PP",,MP,
10.00214/B,JOSEP DUCH SL,Barcelona/MEDIONA,"CS, CP, MM, MP, PP",,"MP, ST",
10.00222/B,CARNS I VIANDES DE CANOVELLES SL,Barcelona/CANOVELLES,"CP, MM, MP, PP",,MP,
10.00251/L,CARNICAS ORDOÑEZ SA,Lleida/VIELHA E MIJARAN,"MM, MP, PP",,MP,
10.00263/B,JAMONES SALA SL,Barcelona/SANT QUIRZE DEL VALLES,PP,,MP,
10.00272/L,SADA P.A. CATALUNYA SA,Lleida/LLEIDA,"CS, RW, SH, CP, MM, MP",A,,
10.00311/B,ESCORXADOR DE CONILLS MANUEL MARIN S.L.,Barcelona/FRANQUESES DEL VALLES (LES),"CS, SH, CP, MM, MP",L,,
10.00397/B,EMBOTITS CASSOLANS CA LA GLORIA SL,Barcelona/BALENYA,"MM, MP, PP",,MP,
10.00426/L,EMBUTIDOS BOTAN SL,Lleida/LLEIDA,"CP, MM, MP, PP",,MP,
10.00433/GE,ESPECIALITATS COSTA S.L.,Girona/BANYOLES,"CS, RW, CP, MM, MP, MSM",,MP,
10.00480/L,MAGASA MASO GASSO SA,Lleida/IVARS D'URGELL,"CS, RW, CP",,,
10.00502/B,ESCORXADOR D'AUS TORRENT I FILLS SA,Barcelona/MATARO,"SH, CP, MM, MP, PP",A,MP,
10.00520/T,CRIVELLE MONSERRAT SA,Tarragona/REUS,"CP, MM, MP",,,
10.00536/B,JAUME BARTOLI SL,Barcelona/SANTA PERPETUA DE MOGODA,"SH, CP, MM, MP",A,,
10.00541/B,INDUSTRIA AVICOLA DEL BERGUEDA SL,Barcelona/CASSERRES,"CS, SH, CP, MM, MP",A,,
10.00542/GE,CARNS LA CANYA SL,Girona/SANT JOAN LES FONTS,CP,,,
10.00633/T,PRODUCTES AVICOLES GRANJA GAIA SA,Tarragona/RIERA DE GAIA (LA),"CS, SH, CP, MM, MP, PP",A,MP,
10.00635/B,ESCORXADOR D'AVIRAM MORE SL,Barcelona/ARGENTONA,"CS, SH, CP, MM, MP, PP",A,MP,
10.00636/B,TOBELLA BOLTA SA,Barcelona/BADALONA,"CP, MM, MP, PP",,MP,
10.00641/B,"GIMENEZ AGUERA, JUAN",Barcelona/FRANQUESES DEL VALLES (LES),CS,,,
10.00648/B,JOSE ORS SA,Barcelona/CALDES DE MONTBUI,PP,,ST,
10.00655/B,LE PORC GOURMET SA,Barcelona/SANTA EUGENIA DE BERGA,"SH, CP, PP",P,ST,
10.00684/GE,CARNIQUES ILLAS JULI SL,Girona/BLANES,"RW, CP, MM, MP, PP",,MP,
10.00738/T,BORRULL BOTIGUES SL,Tarragona/REUS,"CS, RW, MM, MP, PP",,MP,
10.00743/B,MERCADOS DE ABASTECIMIENTOS DE BARCELONA SA,Barcelona/BARCELONA,SH,"B, C, O, S",,
10.00762/B,GIRBAU Y MARTI MATADERO DE AVES SA,Barcelona/RIPOLLET,"CS, SH, CP, MM, MP, PP",A,MP,
10.00778/B,ROCA-JUNQUE SL,Barcelona/GRANADA (LA),CP,,,
10.00781/B,AVESPUGA SA,Barcelona/HOSPITALET DE LLOBREGAT (L'),"CS, SH, CP",A,,
10.00784/B,"LLOBET MACIAN, RAFAEL",Barcelona/BARCELONA,CP,,,
10.00796/GE,CARNS BRUGUES SL,Girona/ARGELAGUER,"CS, CP",,,
10.00855/B,AVICOLA SANCHEZ SL,Barcelona/CORNELLA DE LLOBREGAT,"SH, CP, MM, MP, MSM",A,,
10.00879/B,CARNS ROMEU SL,Barcelona/GELIDA,"CP, MM, MP, PP",,MP,
10.00893/L,"BERCU, S.A.",Lleida/VALLFOGONA DE BALAGUER,"SH, CP",L,,
10.00924/B,JOSE SABATE SL,Barcelona/BARCELONA,"MM, MP, PP",,MP,
10.00929/B,TRIPERA VIGATANA SA,Barcelona/VIC,RW,,ST,
10.00944/B,CECARN SA,Barcelona/SANT PERE DE RIBES,"CP, MM, MP, PP",,MP,
10.00962/B,"CÀRNIQUES JAUME SORTS, SL",Barcelona/GURB,CP,,,
10.00974/B,TRIPAS ORS SL,Barcelona/ARENYS DE MUNT,PP,,ST,
10.01000/B,UNIO INTEGRAL ALIMENATARIA S.A.,Barcelona/FRANQUESES DEL VALLES (LES),"CP, MM, MP, PP",,MP,
10.01010/B,TERRASSA CARNES INDUSTRIALIZADAS SA,Barcelona/TERRASSA,"CS, RW, CP, MM, MP",,,
10.01036/B,OVINOS DEL TER SLU,Barcelona/GURB,CP,,,
10.01054/B,RIDOR SL,Barcelona/SANT FRUITOS DE BAGES,PP,,MP,
10.01057/T,PAVO Y DERIVADOS SA,Tarragona/AMPOSTA,"CS, SH, CP, MM, MP",A,,
10.01079/B,ALIMENTS I EMBOTITS SA,Barcelona/CALLDETENES,"MM, MP, PP",,MP,
10.01104/B,EMBUTIDOS ALVEN SL,Barcelona/SANT JOAN DE VILATORRADA,"MM, MP, PP",,MP,
10.01153/B,"FORCA ALVAREZ, DAVID",Barcelona/BADALONA,"MM, MP, PP",,MP,
10.01182/B,MATADERO FRIGORIFICO DEL CARDONER SA,Barcelona/SANT JOAN DE VILATORRADA,"CS, SH, CP, MM, MP, MSM, PP","P, B, C, O","MP, ST",
10.01184/B,MATADERO COMARCAL DEL BAGES SL,Barcelona/SANT JOAN DE VILATORRADA,"CS, SH, CP, PP",P,ST,
10.01185/GE,ARTIGAS ALIMENTARIA SAU,Girona/CORNELLA DEL TERRI,"SH, CP, MM, MP, PP","P, B, S","MP, ST",
10.01204/B,MATADERO FRIGORIFICO AVINYO SA,Barcelona/AVINYO,"CS, SH, CP, PP",P,,
10.01261/GE,FRIGORÍFICOS CÁRNICOS LAS FORCAS SL - (FRICAFOR),Girona/VILAFANT,"CS, SH, CP, PP",B,ST,
10.01263/GE,COOPECARN GIRONA SLU,Girona/CASSA DE LA SELVA,"MM, MP, PP",,MP,
10.01274/B,MAFRIGES SA,Barcelona/SANT VICENÇ DE TORELLO,"CS, SH, CP, PP",P,MP,
10.01290/B,ESCORXADOR ROJAS I ROCA SL,Barcelona/FRANQUESES DEL VALLES (LES),"SH, CP, MM, MP, PP","A, L",MP,
10.01293/B,PATEL S.A.U.,Barcelona/ESQUIROL (L´),"CS, SH, CP, PP",P,ST,
10.01317/GI,EMBOTITS MASOLIVER SL,Girona/VALL D'EN BAS (LA),"CS, RW, PP",,,
10.01318/GE,CASADEMONT 1956 MEAT SL,Girona/PALOL DE REVARDIT,PP,,MP,
10.01321/GE,JAUME ABRAS SA,Girona/RIUDELLOTS DE LA SELVA,"RW, MM, MP, PP",,MP,
10.01328/B,FABRICA DE EMBUTIDOS V. SERRET M. SL,Barcelona/PAPIOL (EL),"CP, MM, MP, PP",,MP,
10.01349/B,EMBUTIDOS ARTESANOS CASA PAREDES S.L.,Barcelona/SANTA COLOMA DE GRAMENET,"MM, MP, PP",,MP,
10.01402/GE,EMBOTITS FALGAS SL,Girona/SANT MIQUEL DE FLUVIA,PP,,MP,
10.01413/B,ANETO NATURAL SL,Barcelona/ARTES,PP,,MP,
10.01444/T,"BUNDO MARQUES, MANUEL",Tarragona/ARBOÇ (L'),"CS, CP, MM, MP, PP",,MP,
10.01453/GE,EMBOTITS BOADA PORCEL SL,Girona/VILOBI D'ONYAR,"CP, MM, MP, PP",,MP,
10.01506/T,PAVO Y DERIVADOS SA,Tarragona/ROQUETES,"CS, SH, CP, MM, MP, MSM",A,,
10.01597/L,"VILA MATA, ANTONI",Lleida/CERVERA,"MM, MP, PP",,MP,
10.01620/B,DESPIECE DEL CERDO SL,Barcelona/MANLLEU,PP,,MP,
10.01631/B,AVINFRET SA,Barcelona/AVINYO,"CP, MM, MP, PP",,MP,
10.01648/B,"BELMONTE RECHE, PEDRO ANGEL",Barcelona/BARCELONA,"MM, MP, PP",,MP,
10.01649/B,CATALANA DE EMBUTIDOS SA,Barcelona/BALSARENY,"CS, RW, MM, MP, PP",,MP,
10.01655/GE,RAMON VENTULA SA,Girona/OLOT,"CS, PP",,MP,
10.01656/B,EMBOTITS CASSANY SA,Barcelona/TARADELL,"MM, MP, PP",,MP,
10.01657/L,EMBUTIDOS BI HER SA,Lleida/BALAGUER,"MM, MP, PP",,MP,
10.01658/GE,FRANCISCO PUIGVERT SL,Girona/OLOT,PP,,MP,
10.01699/GE,ESTEBAN ESPUÑA SA,Girona/OLOT,"CS, PP",,MP,
10.01738/B,"MACIA XIBERTA, RITA",Barcelona/BARCELONA,"CP, PP",,MP,
10.01764/B,L'OBRADOR DE M. GRIFUL SL,Barcelona/SANT CUGAT DEL VALLES,"MM, MP, PP",,MP,
10.01769/GE,FONT SANS SA,Girona/SANT FELIU DE PALLEROLS,PP,,MP,
10.01781/GE,RAFAEL BARO SA,Girona/CERVIA DE TER,PP,,MP,
10.01782/GE,LUIS OLIVERAS SA,Girona/OLOT,"RW, PP",,MP,
10.01807/B,LA PIARA SAU,Barcelona/MANLLEU,PP,,MP,
10.01810/GE,HIJOS DE JOSE CASAPONSA SA,Girona/VALL DE BIANYA (LA),PP,,MP,
10.01830/GE,FRIGORIFICOS COSTA BRAVA SA,Girona/QUART,"RW, CP",,MP,
10.01862/GE,JOAQUIM ALBERTI SA,Girona/CAMPLLONG,"MM, MP, PP",,MP,
10.01863/GE,EMBUTIDOS CASEROS COLLELL SLU,Girona/PRESES (LES),PP,,MP,
10.01864/GE,BOADAS 1880 SA,Girona/GIRONA,PP,,MP,
10.01865/GE,EMBUTIDOS CAULA SL,Girona/SANT GREGORI,PP,,MP,
10.01867/GE,JUAN AULET TORRENT SL,Girona/ANGLES,PP,,MP,
10.01878/B,EMBUTIDOS SALGOT SA,Barcelona/AIGUAFREDA,"MM, MP, PP",,MP,
10.01886/B,INTERNACIONAL DE EMBUTIDOS SAU,Barcelona/MONTCADA I REIXAC,"RW, MM, MP, PP",,MP,
10.01887/GE,EMBOTITS CROS SA,Girona/CAMPRODON,"MM, MP, PP",,MP,
10.01888/GE,FAR JAMON SERRANO SA,Girona/PRESES (LES),PP,,MP,
10.01889/GE,CASANOVA HERMANOS SA,Girona/CAMPRODON,"RW, PP",,MP,
10.01897/GE,EMBOTITS LAPEDRA SL,Girona/SANT PAU DE SEGURIES,"MM, MP, PP",,MP,
10.01898/GE,J CUROS SL,Girona/PRESES (LES),PP,,MP,
10.01900/B,SUCESORES DE J. PONT SA,Barcelona/BALENYA,PP,,MP,
10.01907/GE,"ASPAR RICART, FRANCISCO",Girona/MOLLO,"MM, MP, PP",,MP,
10.01908/B,LASUS MARSA SA,Barcelona/MONTCADA I REIXAC,"MM, MP, PP",,MP,
10.01917/B,CASA RIERA ORDEIX SA,Barcelona/VIC,PP,,MP,
10.01924/B,EMBUTIDOS SOLA SA,Barcelona/GURB,"MM, MP, PP",,MP,
10.01925/GE,CAPDEVILA GERMANS SA,Girona/SILS,PP,,MP,
10.01928/B,CONSERVAS AUSA SA,Barcelona/PRATS DE LLUÇANES,PP,,MP,
10.01929/B,ARAGONES NOGUERA SLU,Barcelona/IGUALADA,"MM, MP, PP",,MP,
10.01931/GE,HERMANOS FONT VERDAGUER SA,Girona/VALL D'EN BAS (LA),PP,,MP,
10.01932/B,EMBUTIDOS MONELLS SA,Barcelona/MASIES DE VOLTREGA (LES),"MM, MP, PP",,MP,
10.01934/GE,NOEL ALIMENTARIA SAU,Girona/SANT JOAN LES FONTS,"CS, RW, PP",,MP,
10.01935/GE,CARNS I EMBOTITS GARROTXA SA,Girona/VALL D'EN BAS (LA),"CP, MM, MP, PP",,MP,
10.01936/B,EXTRAPERNIL DEL MONTSENY SL,Barcelona/SEVA,PP,,MP,
10.01943/GE,FRIBEL SA,Girona/VERGES,"CS, SH, CP, MM, MP, PP","B, C, O",MP,
10.01944/GE,EMBUTIDOS CASEROS COLLELL SLU,Girona/OLOT,"RW, PP",,MP,
10.01945/GE,ESTEBAN ESPUÑA SA,Girona/OLOT,"CS, PP",,MP,
10.01956/B,CLOSA I FILLS SL,Barcelona/COPONS,"SH, CP","A, L",,
10.01958/B,SUAC SA,Barcelona/PUIG-REIG,"CS, PP",,MP,
10.01961/T,FOMAT SA,Tarragona/SARRAL,PP,,MP,
10.01962/GE,CASADEMONT 1956 MEAT SL,Girona/SANT GREGORI,"RW, MM, MP, PP",,MP,
10.01965/T,EMBOTITS VIBER SL,Tarragona/VALLS,"MM, MP, PP",,MP,
10.01970/B,INDUSTRIAS CARNICAS BLANCAFORT SA,Barcelona/GRANOLLERS,"RW, PP",,MP,
10.01975/GE,JUNCA GELATINES SLU,Girona/BANYOLES,PP,,PAP,
10.01976/B,LA MILANESA SLU,Barcelona/FRANQUESES DEL VALLES (LES),PP,,MP,
10.03893/T,J. MILA SA,Tarragona/SANTA OLIVA,"CP, MM, MP",,,
10.03895/T,EMBOTITS FIGUEROLA SL,Tarragona/VALLMOLL,CS,,,
10.03896/GE,ECORIERA SLU,Girona/VALL D'EN BAS (LA),"CS, CP, MM, MP, PP",,MP,
10.03897/GE,FREYCO SL,Girona/SANT JOAN LES FONTS,"RW, CP",,MP,
10.03903/L,LERIDANA DE PIENSOS SA,Lleida/VALLFOGONA DE BALAGUER,"CS, SH, CP",P,,
10.03918/B,DISTRIBUCIONES JOSEP LLEONART SLL,Barcelona/TERRASSA,"CS, CP, MM, MP",,,
10.03920/B,ANCAU SA,Barcelona/SANTA COLOMA DE CERVELLO,"CP, MM, MP, PP",,MP,
10.03924/B,CARNICAS SOLA SA,Barcelona/GURB,"CS, CP, MSM",,,
10.03929/GE,FRIGORIFICOS COSTA BRAVA SA,Girona/VILAMALLA,"CS, CP",,,
10.03931/GE,MARIA DEL TURA FEIXAS SA,Girona/PRESES (LES),"CS, RW, CP",,,
10.03935/GE,FRIGORIFICOS COSTA BRAVA SA,Girona/RIUDELLOTS DE LA SELVA,"CS, SH, CP, MM, MP, PP",P,ST,
10.03936/GE,UNION FOODS SL,Girona/OLOT,CP,,,
10.03941/L,OBACH SL,Lleida/ORGANYA,"MM, MP, PP",,MP,
10.03942/L,SERVEIS ESCORXADORS DEL SEGRIÀ SA,Lleida/LLEIDA,"CS, RW, SH, CP, MM, MP",A,,
10.03943/L,CARNICAS ARMENGOL SL,Lleida/TARREGA,"CS, RW, CP",,,
10.03947/L,"PRODUCTOS GEMI 1966, SL",Lleida/BELLPUIG,"MM, MP, PP",,MP,
10.03948/L,CORPORACION ALIMENTARIA GUISSONA SA,Lleida/GUISSONA,"CS, RW, SH, CP, MM, MP, MSM, PP","P, A, B, C, O",MP,
10.03949/L,MASIA TERO SA,Lleida/TORREGROSSA,"SH, CP",P,,
10.03950/L,FORTUNE PIG SL,Lleida/MOLLERUSSA,"CS, SH, CP, PP",P,ST,
10.03952/T,BON DRIA SL,Tarragona/ALFORJA,"CS, CP, MM, MP, PP",,MP,
10.03954/GE,FONT CANA SA,Girona/SANT JOAN LES FONTS,PP,,MP,
10.03956/L,RABBIT KING SL,Lleida/PREIXENS,SH,L,,
10.03957/L,CASA BERNADI SL,Lleida/VALLS D'AGUILAR (LES),"SH, CP, MM, MP, PP",P,MP,
10.03958/L,"FARRE FARRANDO, JOSE Y OTROS CB",Lleida/TREMP,"SH, CP",L,,
10.03959/GE,EMBOTITS CASOLANS DE L'EMPORDA SL,Girona/VILAFANT,PP,,MP,
10.03960/GE,EMBUTIDOS SARQUELLA SL,Girona/BANYOLES,PP,,MP,
10.03970/B,EMBUTIDOS MONELLS SA,Barcelona/SEVA,PP,,MP,
10.03971/B,SL DROMINIA,Barcelona/BARCELONA,"RW, CP, MM, MP",,,
10.03979/B,EMBOTITS ESPINA SAU,Barcelona/VIC,PP,,MP,
10.03987/GE,FRIGORIFICOS UNIDOS SA,Girona/RIUDELLOTS DE LA SELVA,"CS, SH, CP, PP","B, C, O",MP,
10.03992/T,VENANCI MONCADA SL,Tarragona/SALOMO,"CS, SH, CP, MM, MP",L,,
10.03995/GE,"SOLA FREIXA, CONCEPCIO",Girona/MOLLO,"MM, MP, PP",,MP,
10.04005/GE,FLORENCIO FONT CANAL SA,Girona/RIPOLL,PP,,MP,
10.04006/GE,JUAN PUIGVERT SL,Girona/SANT FELIU DE PALLEROLS,PP,,MP,
10.04008/GE,"QUOSETIA, SLU",Girona/SANT JOAN DE LES ABADESSES,PP,,MP,
10.04016/B,ESPUGA INDUSTRIAL Y COMERCIAL AVICOLA Y SUS DERIVADOS SA,Barcelona/HOSPITALET DE LLOBREGAT (L'),"MM, MP, PP",,MP,
10.04017/L,URGEL GANADERA SA,Lleida/JUNEDA,"CS, RW, SH",A,,
10.04044/GE,FIBRAN SA,Girona/SANT JOAN DE LES ABADESSES,PP,,,
