"Nº RGSEAA (*)","Razón Social","Provincia/Localidad","Actividades","Especies (**)","Otros Detalles","TSE Feed Ban"
"10.00006/GE","CARNICAS VALL DE BAS SL","Girona/VALL D'EN BAS (LA)","CS, SH, CP","B",,
"10.00018/SA","PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.","Salamanca/GUIJUELO","CS, SH, CP, MM, MP, PP","P","MP",
"10.00025/TE","JAMONES MANZANERA, S.L.","Teruel/MANZANERA","RW, PP",,"MP",
"10.00113/NA","EDMAR, S.A.","Navarra/CASCANTE","CS, SH, CP","P, O",,
"10.00115/B","ROLER ESPAÑA SLU","Barcelona/TERRASSA","RW, CP, MM, MP, PP",,"MP",
"10.00117/LE","ELABORADOS Y DERIVADOS CARNICOS DE LEON, S.L.","León/VILLADANGOS DEL PARAMO","CS, RW, MM, MP, PP",,"MP",
"10.00119/TE","GARGALLO MORA S.L.","Teruel/MORA DE RUBIELOS","RW, PP",,"MP",
"10.00135/NA","PROTECTORA DE CARNES, S.L.","Navarra/SALINAS DE PAMPLONA","CS, SH","B, C, O, S",,
"10.00145/NA","UVE, S.A.","Navarra/TUDELA","CS, SH, CP, MM, MP, MSM","A",,"ABP"
"10.00159/H","SANCHEZ ROMERO CARVAJAL JABUGO S.A.","Huelva/JABUGO","CS, RW, SH, CP, PP","P","MP",
"10.00163/AV","AN S.COOP.","Ávila/AVILA","CS, RW, SH, CP, MM, MP, PP","A","MP",
"10.00167/TE","AL-ANDALUS TRADITION TIRWAL, SL","Teruel/CANTAVIEJA","RW, PP",,"MP",
"10.00169/LU","ATILANO ANLLO, S.L.","Lugo/VILALBA","RW, PP",,"MP",
"10.00181/MU","MATADERO DE AVES HIJOS DE JUAN PUJANTE","Murcia/BENIEL","CS, SH, CP, MM, MP, MSM","A",,
"10.00195/VI","ARAGONESA DE PIENSOS, S.A.","Araba/Álava/BERANTEVILLA","CS, SH, CP, MM, MP, MSM, PP","A","MP",
"10.00198/VA","CHICKENVALL, S. L.","Valladolid/VALLADOLID","CS, CP",,,
"10.00205/BU","INDUSTRIAS CARNICAS CASTELLANAS, S. A.","Burgos/BURGOS","CS, SH, CP","P, fG, B, C, O, S",,
"10.00214/B","JOSEP DUCH SL","Barcelona/MEDIONA","CS, CP, MM, MP, PP",,"MP, ST",
"10.00232/V","U.V.E., S.A.","Valencia/València/RAFELBUNYOL","CS, SH, CP, PP","A","BL",
"10.00234/LO","JAMONES ALTUZARRA, S.L.","Rioja, La/BAÑOS DE RIO TOBIA","RW",,"MP",
"10.00241/LE","HUEVOS LEON S.L.","León/FERRAL DEL BERNESGA","CS, SH, CP, MM, MP, PP","A, L","MP",
"10.00262/V","SADA, P.A. VALENCIA, S.A.","Valencia/València/SUECA","CS, SH, CP","A",,
"10.00271/H","GABRIEL CASTAÑO S.L.","Huelva/CUMBRES MAYORES","RW, PP",,"MP",
"10.00272/L","SADA P.A. CATALUNYA SA","Lleida/LLEIDA","CS, RW, SH, CP, MM, MP","A",,
"10.00285/MA","FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE, S.A. (FACCSA)","Málaga/CARTAMA","CS, RW, CP",,"MP",
"10.00295/AL","JAMONES SEGURA S.L.","Almería/SERON","RW, PP",,"MP",
"10.00302/LU","EURICO, S.L.","Lugo/VILALBA","RW, PP",,"MP",
"10.00311/B","ESCORXADOR DE CONILLS MANUEL MARIN S.L.","Barcelona/FRANQUESES DEL VALLES (LES)","CS, SH, CP, MM, MP","L",,
"10.00312/V","LAUREANO SANCHEZ REQUENA LAURIA, S.L. (LAURIA,S.L.)","Valencia/València/UTIEL","CS, SH, CP","A",,
"10.00332/M","HERMANOS BARROSO J. Y M. S.L.","Madrid/HUMANES DE MADRID","CS, MM, MP, PP",,"MP",
"10.00352/NA","CONTROL DE PORCIONES, S.A. COPOSA","Navarra/RIBAFORADA","RW, PP",,"MP",
"10.00370/TE","JAMONES CASA CONEJOS, S.A.","Teruel/CEDRILLAS","RW, PP",,"MP",
"10.00384/SE","GARRUDO S.L.","Sevilla/SEVILLA","RW, CP, MM, MP",,,
"10.00418/PM","PRODUCTOS CARNICOS GLORIA MALLORQUINA, SA","Palma de Mallorca/INCA","RW, CP, PP",,"MP",
"10.00422/V","MAKRO, AUTOSERVICIO MAYORISTA, S.A.","Valencia/València/ALBUIXECH","CS, CP",,,
"10.00431/LU","SADA P.A. CASTILLA-GALICIA, S.A.","Lugo/CASTRO DE REI","CS, RW, SH, CP","A",,
