Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00006/GE,CARNICAS VALL DE BAS SL,Girona/VALL D'EN BAS (LA),"CS, SH, CP",B,,
10.00018/SA,"PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.",Salamanca/GUIJUELO,"CS, SH, CP, MM, MP, PP",P,MP,
10.00037/SE,ANDALUCIA POLIVALENTES S.L.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.00043/BA,GARCIA MIMBRERO S.L.,Badajoz/FUENTE DE CANTOS,"SH, CP, PP",P,MP,
10.00080/B,GENERAL MARKETS FOOD IBERICA SAU,Barcelona/MONTCADA I REIXAC,"CP, MM, MP",,,
10.00113/NA,"EDMAR, S.A.",Navarra/CASCANTE,"CS, SH, CP","P, O",,
10.00115/B,ROLER ESPAÑA SLU,Barcelona/TERRASSA,"RW, CP, MM, MP, PP",,MP,
10.00120/AL,INDUSTRIAS CARNICAS CAMPOHERMOSO S.L.,Almería/CAMPOHERMOSO,"CP, MM, MP, PP",,MP,
10.00126/GE,CARNICAS J. SITJA SA,Girona/OLOT,"CP, MSM",,,
10.00135/NA,"PROTECTORA DE CARNES, S.L.",Navarra/SALINAS DE PAMPLONA,"CS, SH","B, C, O, S",,
10.00159/H,SANCHEZ ROMERO CARVAJAL JABUGO S.A.,Huelva/JABUGO,"CS, RW, SH, CP, PP",P,MP,
10.00205/BU,"INDUSTRIAS CARNICAS CASTELLANAS, S. A.",Burgos/BURGOS,"CS, SH, CP","P, fG, B, C, O, S",,
10.00213/MU,MERCADOS CENTRALES DE ABASTECIMIENTO DE MURCIA S.A.,Murcia/PALMAR (EL) O LUGAR DE DON JUAN,SH,"P, B, C, O",,
10.00214/B,JOSEP DUCH SL,Barcelona/MEDIONA,"CS, CP, MM, MP, PP",,"MP, ST",
10.00220/GR,INDUSTRIAS CARNICAS ZURITA S.A.,Granada/ALBOLOTE,"CP, PP",,MP,
10.00222/B,CARNS I VIANDES DE CANOVELLES SL,Barcelona/CANOVELLES,"CP, MM, MP, PP",,MP,
10.00259/S,INDUSTRIA CARNICA SALAMI S.A.,Cantabria/SANTANDER,"CP, PP",,MP,
10.00274/GU,EMBUTIDOS ATIENZA S.L.,Guadalajara/ATIENZA,"SH, CP, MM, MP, PP","P, C, O",MP,
10.00285/MA,"FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE, S.A. (FACCSA)",Málaga/CARTAMA,"CS, RW, CP",,MP,
10.00324/O,PRODUCTOS CARNICOS EL CUCO SA,Asturias/OVIEDO,"CP, MM, MP, PP",,MP,
10.00349/MU,"INDUSTRIAS CARNICAS ARCE, S.L. (AV MURCIA 79)",Murcia/RAMOS (LOS),"CP, PP",,MP,
10.00384/SE,GARRUDO S.L.,Sevilla/SEVILLA,"RW, CP, MM, MP",,,
10.00408/SE,MATADERO Y FABRICA DE EMBUTIDOS FRANCISCO ALONSO .L.,Sevilla/ALMADEN DE LA PLATA,"SH, CP, PP",P,MP,
10.00418/PM,"PRODUCTOS CARNICOS GLORIA MALLORQUINA, SA",Palma de Mallorca/INCA,"RW, CP, PP",,MP,
10.00419/GR,EMBUTIDOS GARCIA LIZANA S.L.,Granada/LOJA,"SH, CP, MM, MP, PP",P,"MP, ST",
10.00422/V,"MAKRO, AUTOSERVICIO MAYORISTA, S.A.",Valencia/València/ALBUIXECH,"CS, CP",,,
10.00426/L,EMBUTIDOS BOTAN SL,Lleida/LLEIDA,"CP, MM, MP, PP",,MP,
10.00440/V,"CARNICAS EMBUENA, S.L.",Valencia/València/XIRIVELLA,"CS, CP, MM, MP, PP",,MP,
10.00480/L,MAGASA MASO GASSO SA,Lleida/IVARS D'URGELL,"CS, RW, CP",,,
10.00502/B,ESCORXADOR D'AUS TORRENT I FILLS SA,Barcelona/MATARO,"SH, CP, MM, MP, PP",A,MP,
10.00520/T,CRIVELLE MONSERRAT SA,Tarragona/REUS,"CP, MM, MP",,,
10.00542/GE,CARNS LA CANYA SL,Girona/SANT JOAN LES FONTS,CP,,,
10.00564/GU,"INDUSTRIAS CARNICAS RIMO, S.L.",Guadalajara/MONDEJAR,"CP, PP",,MP,
10.00581/M,"HERMANOS MORAN, S.L.",Madrid/PINTO,"RW, CP, MM, MP, PP",,MP,ABP
10.00595/LU,"JAMONES GONZALEZ, S.L.",Lugo/CORGO (O),"RW, CP, MM, MP, PP",,MP,
