Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00023/L,MATADERO FIGUERA SA,Lleida/AGRAMUNT,"SH, CP",L,,
10.00037/SE,ANDALUCIA POLIVALENTES S.L.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.00048/TE,"TUROTRANS, S.A",Teruel/SANTA EULALIA,"SH, CP, PP",A,MP,
10.00056/GE,CONILLS DE L'EMPORDA SL,Girona/VILOPRIU,SH,L,,
10.00060/L,"MATILDE MASANA, SL",Lleida/SEU D'URGELL (LA),SH,L,,
10.00080/B,GENERAL MARKETS FOOD IBERICA SAU,Barcelona/MONTCADA I REIXAC,"CP, MM, MP",,,
10.00140/B,"PRODUCTOS SELECTOS DEL CERDO S.A. ""LA PIARA""",Barcelona/GRANOLLERS,SH,L,,
10.00144/L,MORROS FILLS SL,Lleida/ARTESA DE SEGRE,"SH, CP",L,,
10.00145/NA,"UVE, S.A.",Navarra/TUDELA,"CS, SH, CP, MM, MP, MSM",A,,ABP
10.00163/AV,AN S.COOP.,Ávila/AVILA,"CS, RW, SH, CP, MM, MP, PP",A,MP,
10.00172/MU,ANTONIO Y BENJAMIN PEREZ MARTINEZ CB,Murcia/NAVARES,SH,L,,
10.00181/MU,MATADERO DE AVES HIJOS DE JUAN PUJANTE,Murcia/BENIEL,"CS, SH, CP, MM, MP, MSM",A,,
10.00195/VI,"ARAGONESA DE PIENSOS, S.A.",Araba/Álava/BERANTEVILLA,"CS, SH, CP, MM, MP, MSM, PP",A,MP,
10.00198/VA,"CHICKENVALL, S. L.",Valladolid/VALLADOLID,"CS, CP",,,
10.00222/B,CARNS I VIANDES DE CANOVELLES SL,Barcelona/CANOVELLES,"CP, MM, MP, PP",,MP,
10.00232/V,"U.V.E., S.A.",Valencia/València/RAFELBUNYOL,"CS, SH, CP, PP",A,BL,
10.00241/LE,HUEVOS LEON S.L.,León/FERRAL DEL BERNESGA,"CS, SH, CP, MM, MP, PP","A, L",MP,
10.00262/V,"SADA, P.A. VALENCIA, S.A.",Valencia/València/SUECA,"CS, SH, CP",A,,
10.00272/L,SADA P.A. CATALUNYA SA,Lleida/LLEIDA,"CS, RW, SH, CP, MM, MP",A,,
10.00311/B,ESCORXADOR DE CONILLS MANUEL MARIN S.L.,Barcelona/FRANQUESES DEL VALLES (LES),"CS, SH, CP, MM, MP",L,,
10.00312/V,"LAUREANO SANCHEZ REQUENA LAURIA, S.L. (LAURIA,S.L.)",Valencia/València/UTIEL,"CS, SH, CP",A,,
