"Nº RGSEAA (*)","Razón Social","Provincia/Localidad","Actividades","Especies (**)","Otros Detalles","TSE Feed Ban"
"10.00205/BU","INDUSTRIAS CARNICAS CASTELLANAS, S. A.","Burgos/BURGOS","CS, SH, CP","P, fG, B, C, O, S",,
"10.00749/NA","MATADERO DE ESTELLA, S.L.","Navarra/ESTELLA-LIZARRA","SH, CP, PP","P, fG, B, C, O, S","BL, ST",
"10.00889/MU","MATADERO EL CABEZO DE LA PLATA S.L.","Murcia/CABEZO DE LA PLATA","CS, SH, CP, MM, MP","R, P, B, C, O, S",,
"10.01018/PM","RAMADERS AGRUPATS SAT 4054","Palma de Mallorca/FELANITX","CS, RW, CP, MM, MP, PP",,"MP",
"10.01351/SE","MATADERO DEL SUR S.A.","Sevilla/SALTERAS","SH, CP, MM, MP, PP","P, fG, B, C, O","BL, MP",
"10.01836/OR","MAGEFRIGOR, S.L.","Ourense/OURENSE","SH, CP","R, B, C, O",,
"10.04063/B","ALIMENTBARNA SL","Barcelona/MONTCADA I REIXAC","CS, CP, MM, MP",,,
"10.04983/PM","AJUNTAMENT DE CIUTADELLA","Palma de Mallorca/CIUTADELLA DE MENORCA","SH, CP","R, P, B, C, O, L",,
"10.05969/PM","RAMADERS AGRUPATS SAT 4054","Palma de Mallorca/FELANITX","SH, PP","P, fG, B, C, O","ST",
"10.05993/V","CARNES OLIVA, S.L.","Valencia/València/OLIVA","CS, CP, MM, MP, PP",,"MP",
"10.06097/TO","MATAJO, S.L.","Toledo/TOLEDO","SH, CP","P, B, C, O",,
"10.06244/Z","LASHAL TARAZONA S.L","Zaragoza/TARAZONA","SH, CP","R, P, B, C, O, S",,
"10.06685/PM","COOP VIRGEN DE MONTE TORO","Palma de Mallorca/MAO","SH","R, P, B, C, O, S",,
"10.07124/V","CARNES FELIX, S.A.","Valencia/València/ALBAL","CS, RW, CP, MM, MP, PP",,"MP",
"10.07312/SS","OKELGINTZA, S,. COOP","Gipuzkoa/ZESTOA","CS, SH, CP, MM, MP","P, fG, B, C, O, S",,
"10.07759/TO","CARNES DE CAZA NAVEHERMOSA, S.L.","Toledo/NAVAHERMOSA","CP, GHE, PP","wL, wA, wU, wG","MP",
"10.07792/M","MATADERO MADRID-NORTE S.A.","Madrid/SAN AGUSTIN DEL GUADALIX","CS, SH","R, P, B",,
"10.08284/IB","ESCORXADOR D'INCA, SL","Islas Baleares/INCA","SH","R, P, B, C, O, S",,
"10.08387/OR","MANCOMUNIDADE DAS TERRAS DO NAVEA BIBEI","Ourense/POBRA DE TRIVES (A)","SH, CP","R, P, B, C, O, S",,
"10.08904/TF","MATADERO INSULAR DE TENERIFE. S.A.","Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA","SH, CP","R, P, B, C, O, L",,
"10.08948/PM","AVICOLA MANACOR SA","Palma de Mallorca/MANACOR","RW, CP",,,
"10.09774/SG","CARNICAS LAS HOCES, S. L.","Segovia/SEPULVEDA","SH, CP","P, fG, B, C, O",,
"10.12089/SG","VICENTE DE LUCAS FUENTETAJA","Segovia/SEGOVIA","SH, CP","P, fG, B, C, O, S",,
"10.13216/GC","EXCMO CABILDO INSULAR DE GRAN CANARIA","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","SH","R, P, A, B, C, O, L",,
"10.13374/NA","PIRINEOS EXDIM, S.L.","Navarra/ESPARZA DE GALAR","CS, RW, CP, GHE","wL, wA, wU, wG","MP",
"10.14098/TO","CARSADES. S.L.U.","Toledo/SONSECA","CP, GHE, MM, MP, PP","wU, wG","MP",
"10.14403/SE","MANUEL SALADO RIOS S.L.","Sevilla/NAVAS DE LA CONCEPCION (LAS)","RW, CP, GHE, PP","wU, wG","MP",
"10.14788/NA","MATADERO COMARCAL DE TUDELA, S.A.","Navarra/TUDELA","SH, PP","P, fG, B, C, O","BL",
"10.14864/V","AHULLANA LANUSSE, S.L.","Valencia/València/CARCAIXENT","CP",,,
"10.15146/M","TORROFER MEAT S.A.","Madrid/SAN AGUSTIN DEL GUADALIX","CS, RW, CP, MM, MP, PP",,"MP",
"10.15513/GR","MATADERO Y SALA DE DESPIECE ANTONIO LUIS S.L.","Granada/BAZA","SH, CP","R, P, B, C, O, S",,
"10.17342/V","AVESTRUCES EL RINCON, S.L.","Valencia/València/RIBA-ROJA DE TURIA","CP, MM, MP",,,
"10.17593/M","EL SOTO, S.A.","Madrid/MADRID","CS, RW, CP, MM, MP",,"MP",
"10.17750/CO","CARNICAZA S.L.","Córdoba/HORNACHUELOS","CP, GHE, MM, MP, PP","wU, wG","MP",
"10.19798/CO","PRODUCTOS DE LA CAZA Y DEL CERDO IBERICO EL CANITO, S.L.","Córdoba/VILLAVICIOSA DE CORDOBA","CP, GHE","wL, wA, wU, wG",,
"10.20081/M","LEM COMERCIO INTERNACIONAL, S.L.U.","Madrid/SAN AGUSTIN DEL GUADALIX","CS, CP, MM, MP",,,
"10.21431/LU","SUMINISTROS MEGARO FOODS, S.L.","Lugo/CASTRO DE REI","CS, CP, MM, MP",,,
"10.23243/AV","CARNICAS CARLOS BLANCO S. L. U.","Ávila/AREVALO","CS, SH, CP","P, fG",,
