Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00979/NA,LORENZ CASTIELLA DANIEL HILARIO Y SOTIL OLANGUA MARTA MICAELA,Navarra/MENDIGORRIA,"GHE, PP","wU, wG",MP,
10.02170/BA,MANUEL ROSA ORTIZ S.C.,Badajoz/VILLANUEVA DE LA SERENA,"CP, GHE","wL, wA, wU, wG",,
10.02172/SA,"JOGOCARNE, S. L.",Salamanca/GALLEGOS DE ARGAÑAN,"CS, SH, CP, GHE, PP","wL, P, wA, wU, B, C, O, wG",MP,
10.02276/TE,"DON JATE, S.A.",Teruel/TERUEL,"SH, CP, GHE, MM, MP, PP","P, wU, B, C, O, wG",MP,
10.02735/M,"OSBRUMA, S.A.",Madrid/CIEMPOZUELOS,"CS, RW, CP, GHE, MM, MP, PP","wU, wG",MP,
10.03064/TO,"CARNICAS EL MILAGRO, S.L.",Toledo/VENTAS CON PEÑA AGUILERA (LAS),"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.03835/CR,"MONTERIAS VISEÑAS, S.L.",Ciudad Real/VISO DEL MARQUES,"CP, GHE","wL, wA, wU, wG",,
10.05017/TO,"LA CATEDRAL DE LA CAZA, S.L.",Toledo/YEBENES (LOS),"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.05110/LO,"CARNICAS ARENZANA, S.L.","Rioja, La/ARENZANA DE ABAJO","CP, GHE, PP","wU, wG",MP,
10.05433/CU,"CARNICAS ARACELI, S.L.",Cuenca/VILLALBA DE LA SIERRA,"CS, SH, CP, GHE, MM, MP, PP","P, wU, C, O, wG","BL, MP",
10.05864/CR,"VEGACAZA, S.L.",Ciudad Real/VALDEPEÑAS,"CP, GHE, PP","wU, wG",MP,
10.06242/CR,"CARNES GOMEZ, S.L.U.",Ciudad Real/AGUDO,"GHE, MM, MP","wU, wG",,
10.07281/NA,"REPOBLACIONES DE COTOS DE CAZA, S.L.",Navarra/EGOZKUE,"CS, RW, CP, GHE","wL, wA, wU, wG",,
10.07759/TO,"CARNES DE CAZA NAVEHERMOSA, S.L.",Toledo/NAVAHERMOSA,"CP, GHE, PP","wL, wA, wU, wG",MP,
10.07998/TO,"VENCAZA, S.L.",Toledo/VENTAS CON PEÑA AGUILERA (LAS),"CP, GHE","wL, wA, wU, wG",,
10.08048/CA,CARNES HERVA S.L.,Cádiz/ALGAR,"CS, GHE","wL, wA, wU, wG",,
10.08208/CA,CARNICAS EL ALCAZAR S.L.,Cádiz/VEJER DE LA FRONTERA,"CS, RW, CP, GHE, MM, MP, PP","wU, wG",MP,
10.08633/TO,CAZA GOURMET S.L.,Toledo/YEBENES (LOS),"GHE, PP","wU, wG",MP,
10.08637/J,CARNICAS DE ALDEAQUEMADA S.L.,Jaén/ALDEAQUEMADA,"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.08739/LO,"RUIZ CASTILLO, JAVIER","Rioja, La/BRIONES","CP, GHE, PP","wU, wG",MP,
10.09187/SE,PRODUCTOS SIERRA MORENA S.L.,Sevilla/REAL DE LA JARA (EL),"CP, GHE, PP","wL, wA, wU, wG",MP,
10.09430/BA,"MORCILLO MUÑOZ, MANUELA",Badajoz/DON BENITO,"CS, GHE","wL, wA",,
10.09453/SE,NORTECAZA S.L.,Sevilla/PEDROSO (EL),"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.09645/SO,JOSE ANTONIO DELGADO LAGUNAS,Soria/BURGO DE OSMA (EL),"RW, CP, GHE","wU, wG",MP,
10.10012/J,MONTERIAS CENCERRA S.A.,Jaén/ANDUJAR,"RW, CP, GHE","wL, wA, wU, wG",,
10.10020/CA,COMPLEJO AGRICOLA S.L.,Cádiz/VEJER DE LA FRONTERA,"CS, GHE","wL, wA",,
10.10280/B,FRIOLISA SA,Barcelona/BARCELONA,"CP, MM, MP",,,
10.10653/J,C.B. CARNICAS SERRANO,Jaén/ANDUJAR,"CP, MM, MP",,,
10.10670/CO,CARNE DE MONTE SIERRA MORENA S.L.,Córdoba/HORNACHUELOS,"CP, GHE","wU, wG",,
10.10778/T,AJUNTAMENT D'HORTA DE SANT JOAN,Tarragona/HORTA DE SANT JOAN,"SH, GHE","wU, C, O, wG",,
10.11055/TO,"PEDRO GOMEZ GALAN, S.L.",Toledo/SANTO DOMINGO-CAUDILLA,GHE,"wL, wA",,
10.11234/CR,"VILLAMAGNA, S.A.",Ciudad Real/BRAZATORTAS,GHE,"wL, wA, wU, wG",,
10.11314/CA,VELASCO CANDON DOMINGO,Cádiz/PATERNA DE RIVERA,GHE,"wL, wA",,
10.11491/CC,CHACINERIAS EXTREMEÑAS S.L.,Cáceres/ALCANTARA,"GHE, PP","wU, wG",MP,
10.11951/BA,CARNES DE CAZA NUÑEZ S.L.,Badajoz/AZUAGA,"RW, GHE","wL, wA",,
10.12617/TE,"DELICAZA SIERRA DE ORICHE , S.L.",Teruel/LOSCOS,GHE,"wU, wG",,
10.12657/CU,"GARCIA CALVO, MARIA ESTRELLA",Cuenca/CUENCA,"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.12758/TO,"CÁRNICAS TORRECAZA, SL.",Toledo/TORRIJOS,"CP, GHE, MM, MP","wU, wG",,
10.13063/B,CARNIQUES LLORA S.L.,Barcelona/SEVA,"CS, RW, CP, GHE","wU, wG",,
10.13374/NA,"PIRINEOS EXDIM, S.L.",Navarra/ESPARZA DE GALAR,"CS, RW, CP, GHE","wL, wA, wU, wG",MP,
10.13515/OR,"HOTEL EL CIERVO, S.L.",Ourense/VEIGA (A),GHE,"wU, wG",,
10.13651/CR,"CONSERVAS HUERTAS MUÑOZ, S.L.",Ciudad Real/SANTA CRUZ DE MUDELA,"CP, GHE","wL, wA, wU, wG",,
10.13808/H,INDUSTRIAS CARNICAS ECOLOGICAS S.L.,Huelva/VILLANUEVA DE LOS CASTILLEJOS,"CS, CP, GHE","wL, wA, wU, wG",,
10.14097/TO,"DISTRIBUCIONES FRIGORIFICAS POLAN, S.L.",Toledo/POLAN,GHE,"wL, wA",,
10.14098/TO,CARSADES. S.L.U.,Toledo/SONSECA,"CP, GHE, MM, MP, PP","wU, wG",MP,
10.14403/SE,MANUEL SALADO RIOS S.L.,Sevilla/NAVAS DE LA CONCEPCION (LAS),"RW, CP, GHE, PP","wU, wG",MP,
10.14696/CA,CARNICAS URBANO S.L.,Cádiz/ALGECIRAS,"CS, CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.14800/VA,"APADRINA UN PALOMAR, S.L.",Valladolid/CUENCA DE CAMPOS,"SH, GHE","wL, wA, A",,
31.00861/T,GRIFFITH FOODS SAU,Tarragona/VALLS,,,,
10.14934/GU,"PREPARADOS DE LA CAZA J. RIBALDA, S.A.",Guadalajara/SAUCA,"CS, CP, GHE","wU, wG",,
10.15480/CR,"CARNE DE MONTE Y GANADERIA, S.L.",Ciudad Real/PUERTOLLANO,"CP, GHE","wL, wA, wU, wG",,
10.15725/J,LIDIA Y CAZA S.L.,Jaén/BAILEN,"CP, GHE","wU, wG",,
10.16513/CR,"CONSERVAS EL CAZADOR, S. L.",Ciudad Real/SOLANA (LA),"GHE, PP","wL, wA",MP,
10.16664/GE,FRESC MATI SL,Girona/JONQUERA (LA),"CP, MM, MP, PP",,MP,
10.17116/TE,D.G.A SERVICIO PROVINCIAL DE MEDIO AMBIENTE,Teruel/ORIHUELA DEL TREMEDAL,GHE,"wU, wG",,
10.17342/V,"AVESTRUCES EL RINCON, S.L.",Valencia/València/RIBA-ROJA DE TURIA,"CP, MM, MP",,,
10.17359/O,TURALLER SL,Asturias/FELECHOSA,"CS, CP, GHE, MM, MP, PP","wU, wG",MP,
10.17514/GE,CARNS BUXEDA SL,Girona/GIRONA,"CS, CP, MM, MP",,,
